# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
29,5.428798e-11,3.000000e+08,3.000000e+08,1.970120e+02,9.868933e+01,1.882927e-01,2.100000e-03,-5.6379e-11,6.5199e-11,1.0691e-09,-3.7156e-10,-2.8756e-09,2.7836e-11
30,4.705234e-11,3.000000e+08,3.000000e+08,1.955296e+02,9.843207e+01,1.884535e-01,2.100000e-03,-3.8791e-11,2.3074e-10,8.1612e-10,-1.4396e-09,-1.6671e-09,3.5913e-11
31,4.379372e-11,3.000000e+08,3.000000e+08,1.938635e+02,9.834226e+01,1.885611e-01,2.100000e-03,1.0782e-11,2.3703e-10,2.2971e-11,-1.4394e-09,-1.4771e-09,8.5290e-11
32,4.295976e-11,3.000000e+08,3.000000e+08,1.939237e+02,9.845147e+01,1.885325e-01,2.100000e-03,1.4055e-11,8.2926e-11,3.1680e-11,-4.6738e-10,-2.5163e-10,1.1952e-10
33,4.288916e-11,3.000000e+08,3.000000e+08,1.939247e+02,9.850965e+01,1.885166e-01,2.100000e-03,1.8142e-11,8.8690e-12,8.9328e-12,-4.2023e-12,1.9384e-10,1.3860e-10
34,4.289894e-11,3.000000e+08,3.000000e+08,1.939342e+02,9.851556e+01,1.885133e-01,2.100000e-03,1.8861e-11,7.1961e-12,-5.5566e-12,5.9992e-12,-2.3942e-10,1.3768e-10
35,4.288862e-11,3.000000e+08,3.000000e+08,1.939252e+02,9.850997e+01,1.885164e-01,2.100000e-03,1.8172e-11,8.7128e-12,1.0950e-11,-4.5893e-12,1.2391e-10,1.3857e-10
36,4.289311e-11,3.000000e+08,3.000000e+08,1.939064e+02,9.851328e+01,1.885156e-01,2.100000e-03,1.9547e-11,7.0542e-12,-1.3816e-11,6.5965e-12,-1.2406e-10,1.3916e-10
37,4.289121e-11,3.000000e+08,3.000000e+08,1.939240e+02,9.851018e+01,1.885163e-01,2.100000e-03,1.8244e-11,8.5152e-12,8.7423e-12,-6.9656e-13,1.6907e-10,1.3667e-10
38,4.288245e-11,3.000000e+08,3.000000e+08,1.939252e+02,9.850997e+01,1.885164e-01,2.100000e-03,1.8182e-11,8.7517e-12,9.0101e-12,-3.5727e-12,1.3767e-10,1.3835e-10
39,4.288808e-11,3.000000e+08,3.000000e+08,1.939252e+02,9.850997e+01,1.885164e-01,2.100000e-03,1.8179e-11,8.7188e-12,5.4479e-12,-2.6463e-12,1.4845e-11,1.3673e-10
