# h_obs,0.000000e+00,2.074175e-01,2.074171e-01,2.074166e-01,2.074160e-01,2.074155e-01,2.074149e-01,2.074143e-01,2.074137e-01,2.074130e-01,2.074124e-01,2.074117e-01,2.074110e-01,2.074104e-01,2.074097e-01,2.074091e-01,2.074084e-01,2.074077e-01,2.074070e-01,2.074063e-01,2.074056e-01,2.074048e-01,2.074040e-01,2.074032e-01,2.074023e-01,2.074013e-01,2.074002e-01,2.073990e-01,2.073976e-01,2.073960e-01,2.073941e-01,2.073917e-01,2.073887e-01,2.073853e-01,2.073811e-01,2.073757e-01,2.073684e-01,2.073575e-01,2.073361e-01,2.072719e-01,2.070764e-01,2.068362e-01,2.066302e-01,2.064113e-01,2.061136e-01,2.056303e-01,2.048608e-01,2.040452e-01,2.034929e-01,2.031422e-01,2.028852e-01,2.026598e-01,2.024191e-01,2.021369e-01,2.017983e-01,2.013333e-01,2.006566e-01,1.998789e-01,1.992412e-01,1.987539e-01,1.983170e-01,1.978344e-01,1.972277e-01,1.965165e-01,1.958726e-01,1.953951e-01,1.950466e-01,1.947703e-01,1.945261e-01,1.942853e-01,1.940212e-01,1.937022e-01,1.932916e-01,1.927631e-01,1.921568e-01,1.915954e-01,1.911493e-01,1.907998e-01,1.905052e-01,1.902297e-01,1.899430e-01,1.896148e-01,1.892143e-01,1.887264e-01,1.881888e-01,1.876874e-01,1.872773e-01,1.869548e-01,1.866936e-01,1.864693e-01,1.862629e-01,1.860594e-01,1.858446e-01,1.856031e-01,1.853171e-01,1.849687e-01,1.845510e-01,1.840874e-01,1.836347e-01,1.832415e-01,1.829191e-01,1.826541e-01,1.824280e-01,1.822247e-01,1.820312e-01,1.818361e-01,1.816285e-01,1.813963e-01,1.811264e-01,1.808072e-01,1.804363e-01,1.800310e-01,1.796292e-01,1.792673e-01,1.789603e-01,1.787042e-01,1.784874e-01,1.782980e-01,1.781260e-01,1.779633e-01,1.778028e-01,1.776380e-01,1.774619e-01,1.772671e-01,1.770452e-01,1.767880e-01,1.764903e-01,1.761556e-01,1.758004e-01,1.754516e-01,1.751331e-01,1.748560e-01,1.746192e-01,1.744155e-01,1.742370e-01,1.740761e-01,1.739265e-01,1.737829e-01,1.736406e-01,1.734950e-01,1.733417e-01,1.731755e-01,1.729910e-01,1.727824e-01,1.725449e-01,1.722767e-01,1.719816e-01,1.716719e-01,1.713655e-01,1.710794e-01,1.708234e-01,1.705994e-01,1.704042e-01,1.702326e-01,1.700793e-01,1.699394e-01,1.698087e-01,1.696838e-01,1.695614e-01,1.694387e-01,1.693127e-01,1.691804e-01,1.690386e-01,1.688838e-01,1.687121e-01,1.685201e-01,1.683050e-01,1.680667e-01,1.678088e-01,1.675396e-01,1.672710e-01,1.670150e-01,1.667798e-01,1.665688e-01,1.663816e-01,1.662154e-01,1.660667e-01,1.659321e-01,1.658081e-01,1.656921e-01,1.655815e-01,1.654741e-01,1.653680e-01,1.652612e-01,1.651519e-01,1.650381e-01,1.649176e-01,1.647882e-01,1.646475e-01,1.644930e-01,1.643224e-01,1.641342e-01,1.639283e-01,1.637069e-01,1.634749e-01,1.632397e-01,1.630094e-01,1.627913e-01,1.625899e-01,1.624070e-01
# sigma2_obs,0.000000e+00,2.451056e-21,1.095032e-20,2.764455e-20,5.541728e-20,9.816989e-20,1.612205e-19,2.518530e-19,3.798916e-19,5.569456e-19,7.898356e-19,1.075640e-18,1.413401e-18,1.805376e-18,2.256389e-18,2.775775e-18,3.381151e-18,4.102275e-18,4.983331e-18,6.086462e-18,7.503429e-18,9.363826e-18,1.186340e-17,1.530315e-17,2.015968e-17,2.723472e-17,3.794088e-17,5.492500e-17,8.358032e-17,1.360980e-16,2.440314e-16,5.001797e-16,1.134916e-15,2.516390e-15,5.819284e-15,1.525723e-14,4.813774e-14,2.069540e-13,1.603359e-12,2.608277e-11,1.308680e-10,9.610724e-11,8.508159e-11,1.409929e-10,3.733577e-10,1.214942e-09,2.499581e-09,1.555732e-09,5.606687e-10,2.401232e-10,1.460622e-10,1.330138e-10,1.801209e-10,2.588427e-10,4.452940e-10,1.015339e-09,1.945751e-09,1.698606e-09,9.027244e-10,5.678656e-10,5.560861e-10,8.144421e-10,1.322433e-09,1.431783e-09,8.630590e-10,4.195378e-10,2.248340e-10,1.481993e-10,1.236422e-10,1.310989e-10,1.751086e-10,2.812902e-10,4.879910e-10,7.631022e-10,8.067439e-10,5.428830e-10,3.056819e-10,1.853682e-10,1.358294e-10,1.249345e-10,1.440477e-10,2.003423e-10,3.046370e-10,4.212429e-10,4.293009e-10,3.086407e-10,1.848021e-10,1.101367e-10,7.184868e-11,5.328493e-11,4.554063e-11,4.503939e-11,5.144501e-11,6.707066e-11,9.630565e-11,1.417604e-10,1.911422e-10,2.062695e-10,1.685618e-10,1.139030e-10,7.298617e-11,4.881136e-11,3.571044e-11,2.918708e-11,2.684608e-11,2.780164e-11,3.225756e-11,4.129698e-11,5.651215e-11,7.799820e-11,9.971266e-11,1.076652e-10,9.407493e-11,6.955789e-11,4.766622e-11,3.273736e-11,2.361720e-11,1.831834e-11,1.542780e-11,1.416260e-11,1.417336e-11,1.542768e-11,1.817272e-11,2.293869e-11,3.045346e-11,4.118278e-11,5.411275e-11,6.504668e-11,6.764634e-11,5.980520e-11,4.657524e-11,3.401025e-11,2.465008e-11,1.842463e-11,1.451225e-11,1.217535e-11,1.092879e-11,1.050474e-11,1.079831e-11,1.183641e-11,1.377224e-11,1.689261e-11,2.160345e-11,2.830419e-11,3.701112e-11,4.663423e-11,5.433446e-11,5.650184e-11,5.183824e-11,4.281307e-11,3.313713e-11,2.506296e-11,1.913578e-11,1.506535e-11,1.236482e-11,1.066142e-11,9.683505e-12,9.268939e-12,9.340958e-12,9.891635e-12,1.097705e-11,1.272047e-11,1.531981e-11,1.904478e-11,2.419182e-11,3.094539e-11,3.908342e-11,4.759791e-11,5.432316e-11,5.678451e-11,5.388588e-11,4.688708e-11,3.833193e-11,3.031512e-11,2.380210e-11,1.891885e-11,1.542368e-11,1.300081e-11,1.138147e-11,1.037015e-11,9.839284e-12,9.716614e-12,9.975296e-12,1.062844e-11,1.172823e-11,1.336995e-11,1.569652e-11,1.890073e-11,2.321165e-11,2.884472e-11,3.588696e-11,4.409538e-11,5.263324e-11,5.993186e-11,6.404412e-11,6.361336e-11,5.878507e-11,5.111881e-11,4.258498e-11,3.465030e-11
iter,rho_melt1_surf,rho_melt1_deep,kappa_surface,kappa_deep,y_trans,width,h_pred_t0,h_pred_t1,h_pred_t2,h_pred_t3,h_pred_t4,h_pred_t5,h_pred_t6,h_pred_t7,h_pred_t8,h_pred_t9,h_pred_t10,h_pred_t11,h_pred_t12,h_pred_t13,h_pred_t14,h_pred_t15,h_pred_t16,h_pred_t17,h_pred_t18,h_pred_t19,h_pred_t20,h_pred_t21,h_pred_t22,h_pred_t23,h_pred_t24,h_pred_t25,h_pred_t26,h_pred_t27,h_pred_t28,h_pred_t29,h_pred_t30,h_pred_t31,h_pred_t32,h_pred_t33,h_pred_t34,h_pred_t35,h_pred_t36,h_pred_t37,h_pred_t38,h_pred_t39,h_pred_t40,h_pred_t41,h_pred_t42,h_pred_t43,h_pred_t44,h_pred_t45,h_pred_t46,h_pred_t47,h_pred_t48,h_pred_t49,h_pred_t50,h_pred_t51,h_pred_t52,h_pred_t53,h_pred_t54,h_pred_t55,h_pred_t56,h_pred_t57,h_pred_t58,h_pred_t59,h_pred_t60,h_pred_t61,h_pred_t62,h_pred_t63,h_pred_t64,h_pred_t65,h_pred_t66,h_pred_t67,h_pred_t68,h_pred_t69,h_pred_t70,h_pred_t71,h_pred_t72,h_pred_t73,h_pred_t74,h_pred_t75,h_pred_t76,h_pred_t77,h_pred_t78,h_pred_t79,h_pred_t80,h_pred_t81,h_pred_t82,h_pred_t83,h_pred_t84,h_pred_t85,h_pred_t86,h_pred_t87,h_pred_t88,h_pred_t89,h_pred_t90,h_pred_t91,h_pred_t92,h_pred_t93,h_pred_t94,h_pred_t95,h_pred_t96,h_pred_t97,h_pred_t98,h_pred_t99,h_pred_t100,h_pred_t101,h_pred_t102,h_pred_t103,h_pred_t104,h_pred_t105,h_pred_t106,h_pred_t107,h_pred_t108,h_pred_t109,h_pred_t110,h_pred_t111,h_pred_t112,h_pred_t113,h_pred_t114,h_pred_t115,h_pred_t116,h_pred_t117,h_pred_t118,h_pred_t119,h_pred_t120,h_pred_t121,h_pred_t122,h_pred_t123,h_pred_t124,h_pred_t125,h_pred_t126,h_pred_t127,h_pred_t128,h_pred_t129,h_pred_t130,h_pred_t131,h_pred_t132,h_pred_t133,h_pred_t134,h_pred_t135,h_pred_t136,h_pred_t137,h_pred_t138,h_pred_t139,h_pred_t140,h_pred_t141,h_pred_t142,h_pred_t143,h_pred_t144,h_pred_t145,h_pred_t146,h_pred_t147,h_pred_t148,h_pred_t149,h_pred_t150,h_pred_t151,h_pred_t152,h_pred_t153,h_pred_t154,h_pred_t155,h_pred_t156,h_pred_t157,h_pred_t158,h_pred_t159,h_pred_t160,h_pred_t161,h_pred_t162,h_pred_t163,h_pred_t164,h_pred_t165,h_pred_t166,h_pred_t167,h_pred_t168,h_pred_t169,h_pred_t170,h_pred_t171,h_pred_t172,h_pred_t173,h_pred_t174,h_pred_t175,h_pred_t176,h_pred_t177,h_pred_t178,h_pred_t179,h_pred_t180,h_pred_t181,h_pred_t182,h_pred_t183,h_pred_t184,h_pred_t185,h_pred_t186,h_pred_t187,h_pred_t188,h_pred_t189,h_pred_t190,h_pred_t191,h_pred_t192,h_pred_t193,h_pred_t194,h_pred_t195,h_pred_t196,h_pred_t197,h_pred_t198,h_pred_t199,var_pred_t0,var_pred_t1,var_pred_t2,var_pred_t3,var_pred_t4,var_pred_t5,var_pred_t6,var_pred_t7,var_pred_t8,var_pred_t9,var_pred_t10,var_pred_t11,var_pred_t12,var_pred_t13,var_pred_t14,var_pred_t15,var_pred_t16,var_pred_t17,var_pred_t18,var_pred_t19,var_pred_t20,var_pred_t21,var_pred_t22,var_pred_t23,var_pred_t24,var_pred_t25,var_pred_t26,var_pred_t27,var_pred_t28,var_pred_t29,var_pred_t30,var_pred_t31,var_pred_t32,var_pred_t33,var_pred_t34,var_pred_t35,var_pred_t36,var_pred_t37,var_pred_t38,var_pred_t39,var_pred_t40,var_pred_t41,var_pred_t42,var_pred_t43,var_pred_t44,var_pred_t45,var_pred_t46,var_pred_t47,var_pred_t48,var_pred_t49,var_pred_t50,var_pred_t51,var_pred_t52,var_pred_t53,var_pred_t54,var_pred_t55,var_pred_t56,var_pred_t57,var_pred_t58,var_pred_t59,var_pred_t60,var_pred_t61,var_pred_t62,var_pred_t63,var_pred_t64,var_pred_t65,var_pred_t66,var_pred_t67,var_pred_t68,var_pred_t69,var_pred_t70,var_pred_t71,var_pred_t72,var_pred_t73,var_pred_t74,var_pred_t75,var_pred_t76,var_pred_t77,var_pred_t78,var_pred_t79,var_pred_t80,var_pred_t81,var_pred_t82,var_pred_t83,var_pred_t84,var_pred_t85,var_pred_t86,var_pred_t87,var_pred_t88,var_pred_t89,var_pred_t90,var_pred_t91,var_pred_t92,var_pred_t93,var_pred_t94,var_pred_t95,var_pred_t96,var_pred_t97,var_pred_t98,var_pred_t99,var_pred_t100,var_pred_t101,var_pred_t102,var_pred_t103,var_pred_t104,var_pred_t105,var_pred_t106,var_pred_t107,var_pred_t108,var_pred_t109,var_pred_t110,var_pred_t111,var_pred_t112,var_pred_t113,var_pred_t114,var_pred_t115,var_pred_t116,var_pred_t117,var_pred_t118,var_pred_t119,var_pred_t120,var_pred_t121,var_pred_t122,var_pred_t123,var_pred_t124,var_pred_t125,var_pred_t126,var_pred_t127,var_pred_t128,var_pred_t129,var_pred_t130,var_pred_t131,var_pred_t132,var_pred_t133,var_pred_t134,var_pred_t135,var_pred_t136,var_pred_t137,var_pred_t138,var_pred_t139,var_pred_t140,var_pred_t141,var_pred_t142,var_pred_t143,var_pred_t144,var_pred_t145,var_pred_t146,var_pred_t147,var_pred_t148,var_pred_t149,var_pred_t150,var_pred_t151,var_pred_t152,var_pred_t153,var_pred_t154,var_pred_t155,var_pred_t156,var_pred_t157,var_pred_t158,var_pred_t159,var_pred_t160,var_pred_t161,var_pred_t162,var_pred_t163,var_pred_t164,var_pred_t165,var_pred_t166,var_pred_t167,var_pred_t168,var_pred_t169,var_pred_t170,var_pred_t171,var_pred_t172,var_pred_t173,var_pred_t174,var_pred_t175,var_pred_t176,var_pred_t177,var_pred_t178,var_pred_t179,var_pred_t180,var_pred_t181,var_pred_t182,var_pred_t183,var_pred_t184,var_pred_t185,var_pred_t186,var_pred_t187,var_pred_t188,var_pred_t189,var_pred_t190,var_pred_t191,var_pred_t192,var_pred_t193,var_pred_t194,var_pred_t195,var_pred_t196,var_pred_t197,var_pred_t198,var_pred_t199
1,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,0.000000e+00,2.074175e-01,2.074171e-01,2.074166e-01,2.074160e-01,2.074155e-01,2.074149e-01,2.074143e-01,2.074137e-01,2.074130e-01,2.074124e-01,2.074117e-01,2.074110e-01,2.074104e-01,2.074097e-01,2.074091e-01,2.074084e-01,2.074077e-01,2.074070e-01,2.074063e-01,2.074056e-01,2.074048e-01,2.074040e-01,2.074032e-01,2.074023e-01,2.074013e-01,2.074002e-01,2.073990e-01,2.073976e-01,2.073960e-01,2.073941e-01,2.073917e-01,2.073887e-01,2.073853e-01,2.073811e-01,2.073757e-01,2.073684e-01,2.073574e-01,2.073360e-01,2.072714e-01,2.070750e-01,2.068349e-01,2.066291e-01,2.064100e-01,2.061117e-01,2.056268e-01,2.048550e-01,2.040400e-01,2.034898e-01,2.031403e-01,2.028838e-01,2.026586e-01,2.024178e-01,2.021354e-01,2.017965e-01,2.013306e-01,2.006526e-01,1.998747e-01,1.992381e-01,1.987518e-01,1.983152e-01,1.978326e-01,1.972255e-01,1.965139e-01,1.958704e-01,1.953936e-01,1.950456e-01,1.947695e-01,1.945255e-01,1.942848e-01,1.940208e-01,1.937017e-01,1.932911e-01,1.927624e-01,1.921560e-01,1.915946e-01,1.911487e-01,1.907994e-01,1.905049e-01,1.902295e-01,1.899429e-01,1.896148e-01,1.892144e-01,1.887265e-01,1.881889e-01,1.876874e-01,1.872773e-01,1.869548e-01,1.866936e-01,1.864693e-01,1.862630e-01,1.860595e-01,1.858447e-01,1.856034e-01,1.853174e-01,1.849691e-01,1.845515e-01,1.840880e-01,1.836351e-01,1.832419e-01,1.829194e-01,1.826543e-01,1.824282e-01,1.822249e-01,1.820314e-01,1.818364e-01,1.816288e-01,1.813967e-01,1.811268e-01,1.808077e-01,1.804369e-01,1.800316e-01,1.796298e-01,1.792678e-01,1.789607e-01,1.787045e-01,1.784877e-01,1.782982e-01,1.781263e-01,1.779635e-01,1.778031e-01,1.776382e-01,1.774622e-01,1.772675e-01,1.770456e-01,1.767885e-01,1.764909e-01,1.761562e-01,1.758011e-01,1.754522e-01,1.751337e-01,1.748565e-01,1.746195e-01,1.744159e-01,1.742373e-01,1.740764e-01,1.739267e-01,1.737831e-01,1.736408e-01,1.734953e-01,1.733420e-01,1.731759e-01,1.729914e-01,1.727829e-01,1.725455e-01,1.722773e-01,1.719823e-01,1.716726e-01,1.713662e-01,1.710800e-01,1.708240e-01,1.705999e-01,1.704046e-01,1.702330e-01,1.700796e-01,1.699397e-01,1.698090e-01,1.696841e-01,1.695617e-01,1.694390e-01,1.693130e-01,1.691807e-01,1.690390e-01,1.688842e-01,1.687126e-01,1.685206e-01,1.683057e-01,1.680674e-01,1.678095e-01,1.675403e-01,1.672718e-01,1.670157e-01,1.667804e-01,1.665693e-01,1.663821e-01,1.662158e-01,1.660671e-01,1.659324e-01,1.658085e-01,1.656924e-01,1.655818e-01,1.654744e-01,1.653683e-01,1.652615e-01,1.651522e-01,1.650384e-01,1.649180e-01,1.647886e-01,1.646480e-01,1.644935e-01,1.643230e-01,1.641348e-01,1.639290e-01,1.637077e-01,1.634757e-01,1.632404e-01,1.630101e-01,1.627919e-01,1.625905e-01,1.624075e-01,0.000000e+00,7.439831e-22,3.297584e-21,8.259641e-21,1.642922e-20,2.888107e-20,4.707297e-20,7.299349e-20,1.093145e-19,1.591782e-19,2.244007e-19,3.041661e-19,3.983239e-19,5.076569e-19,6.339124e-19,7.798502e-19,9.504939e-19,1.154206e-18,1.403094e-18,1.714503e-18,2.112903e-18,2.633764e-18,3.330351e-18,4.284609e-18,5.626075e-18,7.574157e-18,1.051630e-17,1.517995e-17,2.305290e-17,3.751042e-17,6.732261e-17,1.383806e-16,3.151003e-16,7.002776e-16,1.622649e-15,4.265007e-15,1.349859e-14,5.821507e-14,4.518351e-13,7.375863e-12,3.722158e-11,2.689847e-11,2.327426e-11,3.781618e-11,9.917991e-11,3.219726e-10,6.650155e-10,4.129790e-10,1.472833e-10,6.186336e-11,3.653362e-11,3.221836e-11,4.291859e-11,6.015409e-11,9.970787e-11,2.223843e-10,4.246364e-10,3.695238e-10,1.930583e-10,1.173715e-10,1.098644e-10,1.546205e-10,2.457137e-10,2.650405e-10,1.605416e-10,7.874743e-11,4.258681e-11,2.834865e-11,2.384716e-11,2.541046e-11,3.394948e-11,5.433593e-11,9.386265e-11,1.466633e-10,1.561165e-10,1.071072e-10,6.253506e-11,4.010381e-11,3.161153e-11,3.151791e-11,3.916166e-11,5.772171e-11,9.122748e-11,1.292602e-10,1.340614e-10,9.822286e-11,6.055493e-11,3.780636e-11,2.637850e-11,2.134014e-11,2.017248e-11,2.215593e-11,2.790828e-11,3.948040e-11,6.029541e-11,9.280595e-11,1.290476e-10,1.421057e-10,1.180046e-10,8.133322e-11,5.374255e-11,3.765561e-11,2.939566e-11,2.603116e-11,2.618758e-11,2.970555e-11,3.748393e-11,5.153338e-11,7.456296e-11,1.071988e-10,1.409146e-10,1.547844e-10,1.365785e-10,1.016893e-10,7.029810e-11,4.899101e-11,3.617633e-11,2.901041e-11,2.551048e-11,2.463218e-11,2.603257e-11,2.992958e-11,3.711006e-11,4.900294e-11,6.753272e-11,9.405039e-11,1.263087e-10,1.540804e-10,1.615662e-10,1.432481e-10,1.115025e-10,8.126940e-11,5.882776e-11,4.401584e-11,3.482788e-11,2.947581e-11,2.679987e-11,2.618305e-11,2.742183e-11,3.065849e-11,3.638040e-11,4.545467e-11,5.909618e-11,7.851367e-11,1.038130e-10,1.318742e-10,1.544302e-10,1.609036e-10,1.474629e-10,1.213200e-10,9.331760e-11,7.001584e-11,5.296883e-11,4.130179e-11,3.362776e-11,2.876867e-11,2.595966e-11,2.472548e-11,2.483589e-11,2.625613e-11,2.913038e-11,3.378913e-11,4.076919e-11,5.080581e-11,6.471010e-11,8.298800e-11,1.050378e-10,1.279658e-10,1.460705e-10,1.525467e-10,1.444279e-10,1.251860e-10,1.017790e-10,7.991104e-11,6.218765e-11,4.892140e-11,3.942803e-11,3.282922e-11,2.837941e-11,2.553483e-11,2.393632e-11,2.337258e-11,2.375085e-11,2.507968e-11,2.746358e-11,3.110998e-11,3.633856e-11,4.358466e-11,5.336736e-11,6.617282e-11,8.218988e-11,1.008499e-10,1.202259e-10,1.367221e-10,1.458863e-10,1.446321e-10,1.333226e-10,1.155576e-10,9.586462e-11,7.759890e-11
1,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,0.000000e+00,2.074175e-01,2.074171e-01,2.074166e-01,2.074160e-01,2.074155e-01,2.074149e-01,2.074143e-01,2.074137e-01,2.074130e-01,2.074124e-01,2.074117e-01,2.074110e-01,2.074104e-01,2.074097e-01,2.074091e-01,2.074084e-01,2.074077e-01,2.074070e-01,2.074063e-01,2.074056e-01,2.074048e-01,2.074040e-01,2.074032e-01,2.074023e-01,2.074013e-01,2.074002e-01,2.073990e-01,2.073976e-01,2.073960e-01,2.073941e-01,2.073917e-01,2.073887e-01,2.073853e-01,2.073811e-01,2.073757e-01,2.073684e-01,2.073574e-01,2.073360e-01,2.072714e-01,2.070750e-01,2.068349e-01,2.066291e-01,2.064100e-01,2.061117e-01,2.056268e-01,2.048550e-01,2.040400e-01,2.034898e-01,2.031403e-01,2.028838e-01,2.026586e-01,2.024178e-01,2.021354e-01,2.017965e-01,2.013306e-01,2.006526e-01,1.998747e-01,1.992381e-01,1.987518e-01,1.983152e-01,1.978326e-01,1.972255e-01,1.965139e-01,1.958704e-01,1.953936e-01,1.950456e-01,1.947695e-01,1.945255e-01,1.942848e-01,1.940208e-01,1.937017e-01,1.932911e-01,1.927624e-01,1.921560e-01,1.915946e-01,1.911487e-01,1.907994e-01,1.905049e-01,1.902295e-01,1.899429e-01,1.896148e-01,1.892144e-01,1.887265e-01,1.881889e-01,1.876874e-01,1.872773e-01,1.869548e-01,1.866936e-01,1.864693e-01,1.862630e-01,1.860595e-01,1.858447e-01,1.856034e-01,1.853174e-01,1.849691e-01,1.845515e-01,1.840880e-01,1.836351e-01,1.832419e-01,1.829194e-01,1.826543e-01,1.824282e-01,1.822249e-01,1.820314e-01,1.818364e-01,1.816288e-01,1.813967e-01,1.811268e-01,1.808077e-01,1.804369e-01,1.800316e-01,1.796298e-01,1.792678e-01,1.789607e-01,1.787045e-01,1.784877e-01,1.782982e-01,1.781263e-01,1.779635e-01,1.778031e-01,1.776382e-01,1.774622e-01,1.772675e-01,1.770456e-01,1.767885e-01,1.764909e-01,1.761562e-01,1.758011e-01,1.754522e-01,1.751337e-01,1.748565e-01,1.746195e-01,1.744159e-01,1.742373e-01,1.740764e-01,1.739267e-01,1.737831e-01,1.736408e-01,1.734953e-01,1.733420e-01,1.731759e-01,1.729914e-01,1.727829e-01,1.725455e-01,1.722773e-01,1.719823e-01,1.716726e-01,1.713662e-01,1.710800e-01,1.708240e-01,1.705999e-01,1.704046e-01,1.702330e-01,1.700796e-01,1.699397e-01,1.698090e-01,1.696841e-01,1.695617e-01,1.694390e-01,1.693130e-01,1.691807e-01,1.690390e-01,1.688842e-01,1.687126e-01,1.685206e-01,1.683057e-01,1.680674e-01,1.678095e-01,1.675403e-01,1.672718e-01,1.670157e-01,1.667804e-01,1.665693e-01,1.663821e-01,1.662158e-01,1.660671e-01,1.659324e-01,1.658085e-01,1.656924e-01,1.655818e-01,1.654744e-01,1.653683e-01,1.652615e-01,1.651522e-01,1.650384e-01,1.649180e-01,1.647886e-01,1.646480e-01,1.644935e-01,1.643230e-01,1.641348e-01,1.639290e-01,1.637077e-01,1.634757e-01,1.632404e-01,1.630101e-01,1.627919e-01,1.625905e-01,1.624075e-01,0.000000e+00,7.439831e-22,3.297584e-21,8.259641e-21,1.642922e-20,2.888107e-20,4.707297e-20,7.299349e-20,1.093145e-19,1.591782e-19,2.244007e-19,3.041661e-19,3.983239e-19,5.076569e-19,6.339124e-19,7.798502e-19,9.504939e-19,1.154206e-18,1.403094e-18,1.714503e-18,2.112903e-18,2.633764e-18,3.330351e-18,4.284609e-18,5.626075e-18,7.574157e-18,1.051630e-17,1.517995e-17,2.305290e-17,3.751042e-17,6.732261e-17,1.383806e-16,3.151003e-16,7.002776e-16,1.622649e-15,4.265007e-15,1.349859e-14,5.821507e-14,4.518351e-13,7.375863e-12,3.722158e-11,2.689847e-11,2.327426e-11,3.781618e-11,9.917991e-11,3.219726e-10,6.650155e-10,4.129790e-10,1.472833e-10,6.186336e-11,3.653362e-11,3.221836e-11,4.291859e-11,6.015409e-11,9.970787e-11,2.223843e-10,4.246364e-10,3.695238e-10,1.930583e-10,1.173715e-10,1.098644e-10,1.546205e-10,2.457137e-10,2.650405e-10,1.605416e-10,7.874743e-11,4.258681e-11,2.834865e-11,2.384716e-11,2.541046e-11,3.394948e-11,5.433593e-11,9.386265e-11,1.466633e-10,1.561165e-10,1.071072e-10,6.253506e-11,4.010381e-11,3.161153e-11,3.151791e-11,3.916166e-11,5.772171e-11,9.122748e-11,1.292602e-10,1.340614e-10,9.822286e-11,6.055493e-11,3.780636e-11,2.637850e-11,2.134014e-11,2.017248e-11,2.215593e-11,2.790828e-11,3.948040e-11,6.029541e-11,9.280595e-11,1.290476e-10,1.421057e-10,1.180046e-10,8.133322e-11,5.374255e-11,3.765561e-11,2.939566e-11,2.603116e-11,2.618758e-11,2.970555e-11,3.748393e-11,5.153338e-11,7.456296e-11,1.071988e-10,1.409146e-10,1.547844e-10,1.365785e-10,1.016893e-10,7.029810e-11,4.899101e-11,3.617633e-11,2.901041e-11,2.551048e-11,2.463218e-11,2.603257e-11,2.992958e-11,3.711006e-11,4.900294e-11,6.753272e-11,9.405039e-11,1.263087e-10,1.540804e-10,1.615662e-10,1.432481e-10,1.115025e-10,8.126940e-11,5.882776e-11,4.401584e-11,3.482788e-11,2.947581e-11,2.679987e-11,2.618305e-11,2.742183e-11,3.065849e-11,3.638040e-11,4.545467e-11,5.909618e-11,7.851367e-11,1.038130e-10,1.318742e-10,1.544302e-10,1.609036e-10,1.474629e-10,1.213200e-10,9.331760e-11,7.001584e-11,5.296883e-11,4.130179e-11,3.362776e-11,2.876867e-11,2.595966e-11,2.472548e-11,2.483589e-11,2.625613e-11,2.913038e-11,3.378913e-11,4.076919e-11,5.080581e-11,6.471010e-11,8.298800e-11,1.050378e-10,1.279658e-10,1.460705e-10,1.525467e-10,1.444279e-10,1.251860e-10,1.017790e-10,7.991104e-11,6.218765e-11,4.892140e-11,3.942803e-11,3.282922e-11,2.837941e-11,2.553483e-11,2.393632e-11,2.337258e-11,2.375085e-11,2.507968e-11,2.746358e-11,3.110998e-11,3.633856e-11,4.358466e-11,5.336736e-11,6.617282e-11,8.218988e-11,1.008499e-10,1.202259e-10,1.367221e-10,1.458863e-10,1.446321e-10,1.333226e-10,1.155576e-10,9.586462e-11,7.759890e-11
