# rho_melt1_surf_truth=1.500000e+08  rho_melt1_deep_truth=1.500000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
29,1.863695e-10,3.000000e+08,3.000000e+08,1.874848e+02,1.087769e+02,1.907543e-01,2.100000e-03,2.0025e-10,-9.6434e-11,-2.4954e-09,7.9786e-10,7.4479e-09,5.4755e-11
30,2.769407e-10,3.000000e+08,3.000000e+08,1.876974e+02,1.083028e+02,1.908016e-01,2.100000e-03,3.7497e-10,-4.9493e-11,1.5344e-08,-8.2475e-09,-1.6278e-07,1.2441e-09
31,1.863330e-10,3.000000e+08,3.000000e+08,1.874866e+02,1.087729e+02,1.907547e-01,2.100000e-03,2.0020e-10,-9.6421e-11,-2.5035e-09,7.9939e-10,7.4679e-09,5.4851e-11
32,1.862917e-10,3.000000e+08,3.000000e+08,1.874883e+02,1.087690e+02,1.907551e-01,2.100000e-03,2.0014e-10,-9.6407e-11,-2.4884e-09,7.9066e-10,7.4054e-09,5.4146e-11
33,1.840959e-10,3.000000e+08,3.000000e+08,1.875928e+02,1.085356e+02,1.907783e-01,2.100000e-03,1.9696e-10,-9.5626e-11,-2.4856e-09,7.9670e-10,7.6067e-09,5.4417e-11
34,2.746702e-10,3.000000e+08,3.000000e+08,1.876618e+02,1.083819e+02,1.907937e-01,2.100000e-03,3.7060e-10,-5.1211e-11,1.6194e-08,-8.6011e-09,-1.6862e-07,1.2834e-09
35,1.840909e-10,3.000000e+08,3.000000e+08,1.875930e+02,1.085352e+02,1.907784e-01,2.100000e-03,1.9695e-10,-9.5625e-11,-2.3919e-09,7.6197e-10,7.1237e-09,5.4576e-11
36,1.840908e-10,3.000000e+08,3.000000e+08,1.875931e+02,1.085351e+02,1.907784e-01,2.100000e-03,1.9695e-10,-9.5624e-11,-2.5047e-09,7.9146e-10,7.5371e-09,5.4245e-11
37,2.723243e-10,3.000000e+08,3.000000e+08,1.876275e+02,1.084585e+02,1.907860e-01,2.100000e-03,3.6611e-10,-5.2928e-11,1.6984e-08,-8.8992e-09,-1.7340e-07,1.3143e-09
38,1.840911e-10,3.000000e+08,3.000000e+08,1.875931e+02,1.085350e+02,1.907784e-01,2.100000e-03,1.9695e-10,-9.5625e-11,-2.3795e-09,7.6689e-10,7.1691e-09,5.4449e-11
39,1.840915e-10,3.000000e+08,3.000000e+08,1.875931e+02,1.085351e+02,1.907784e-01,2.100000e-03,1.9695e-10,-9.5625e-11,-2.4759e-09,7.8222e-10,7.4005e-09,5.4271e-11
40,1.532769e-10,3.000000e+08,3.000000e+08,1.929833e+02,9.783717e+01,1.918254e-01,2.100000e-03,2.2739e-10,8.8210e-12,-4.1203e-09,4.0157e-10,9.2572e-09,1.7544e-11
41,6.828828e-11,3.000000e+08,3.000000e+08,1.974326e+02,9.000000e+01,1.926721e-01,2.100000e-03,3.4148e-11,2.4746e-11,-1.3289e-09,1.1223e-10,8.2791e-09,-3.2607e-11
42,5.907440e-11,3.000000e+08,3.000000e+08,2.019592e+02,9.000000e+01,1.927208e-01,2.100000e-03,-5.7782e-11,-3.4675e-12,2.5515e-10,1.5443e-10,9.2060e-09,-5.3242e-11
43,4.529040e-11,3.000000e+08,3.000000e+08,2.011570e+02,9.000000e+01,1.923451e-01,2.100000e-03,-2.3898e-11,3.6872e-11,-7.7718e-11,-8.7771e-11,4.5939e-09,-4.8167e-11
44,2.040545e-11,3.000000e+08,3.000000e+08,2.011931e+02,9.657145e+01,1.912728e-01,2.100000e-03,7.5434e-12,3.3974e-11,-2.9837e-10,-1.3298e-10,1.7663e-09,-2.0134e-11
45,1.039449e-11,3.000000e+08,3.000000e+08,2.028135e+02,1.111627e+02,1.894262e-01,2.100000e-03,3.0180e-11,-3.9100e-11,-5.5255e-10,3.0214e-10,1.6276e-09,3.2030e-11
46,3.155519e-12,3.000000e+08,3.000000e+08,2.037254e+02,1.059651e+02,1.898572e-01,2.100000e-03,1.5084e-11,1.9861e-13,-2.8671e-10,2.7215e-11,5.9893e-10,7.7235e-12
47,1.278572e-12,3.000000e+08,3.000000e+08,2.051615e+02,1.066377e+02,1.896542e-01,2.100000e-03,5.1147e-12,-9.8349e-13,-1.0184e-10,1.6974e-11,5.8899e-10,2.2312e-12
48,2.502724e-13,3.000000e+08,3.000000e+08,2.066678e+02,1.080357e+02,1.892888e-01,2.100000e-03,2.5092e-12,1.6233e-12,-3.3027e-11,-7.8300e-12,3.1338e-11,-2.4843e-13
49,1.643879e-13,3.000000e+08,3.000000e+08,2.071939e+02,1.086866e+02,1.891605e-01,2.100000e-03,1.1527e-12,-3.6209e-13,-7.2667e-12,2.1818e-12,2.3222e-11,-3.8221e-13
50,1.623484e-13,3.000000e+08,3.000000e+08,2.073234e+02,1.087304e+02,1.891377e-01,2.100000e-03,8.9536e-13,3.5717e-13,-1.8731e-12,-2.6772e-12,-2.7747e-11,-8.7092e-13
51,1.620654e-13,3.000000e+08,3.000000e+08,2.073222e+02,1.087527e+02,1.891379e-01,2.100000e-03,7.7871e-13,-7.9384e-14,-4.7360e-14,-1.6901e-13,-2.2898e-12,-7.8382e-13
