# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,8.551970e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-5.0851e-09,-1.1634e-08,7.9855e-08,8.1324e-08,3.4954e-07,1.6352e-10
2,8.551956e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-5.0851e-09,-1.1634e-08,7.8507e-08,8.1766e-08,3.4984e-07,1.7485e-10
3,6.050055e-08,3.000000e+08,3.000000e+08,1.713658e+02,1.426457e+02,1.897621e-01,2.100000e-03,1.1150e-09,-2.2168e-08,-1.2858e-08,1.9164e-07,2.1912e-07,1.8945e-09
4,8.040229e-07,3.000000e+08,3.000000e+08,1.700000e+02,9.000000e+01,1.470000e-01,2.100000e-03,2.8334e-10,6.7467e-07,1.2972e-07,-4.7138e-06,-1.4717e-06,-2.1115e-08
5,4.174365e-08,3.000000e+08,3.000000e+08,1.711463e+02,1.325006e+02,1.821568e-01,2.100000e-03,3.4679e-09,-2.1730e-08,-3.1599e-07,3.4629e-07,-6.4345e-08,2.0766e-09
6,1.490012e-07,3.000000e+08,3.000000e+08,1.705722e+02,1.092019e+02,1.636370e-01,2.100000e-03,5.5193e-09,1.1180e-07,-5.2796e-08,-7.8686e-07,-1.5093e-06,-1.6394e-08
7,3.885931e-08,3.000000e+08,3.000000e+08,1.710341e+02,1.275928e+02,1.783847e-01,2.100000e-03,3.6128e-09,-1.5278e-08,-6.3206e-08,1.4927e-07,-2.3298e-07,7.0129e-11
8,3.025521e-08,3.000000e+08,3.000000e+08,1.849746e+02,1.146062e+02,1.777869e-01,2.100000e-03,3.3264e-09,8.4661e-09,-5.1885e-08,-3.7612e-08,-6.7192e-07,-3.9754e-09
9,2.336767e-09,3.000000e+08,3.000000e+08,2.256608e+02,9.955571e+01,1.907052e-01,2.100000e-03,-1.2414e-09,-7.4290e-09,2.1631e-08,4.2491e-08,3.8445e-07,2.6242e-09
10,1.827806e-09,3.000000e+08,3.000000e+08,2.134691e+02,1.031111e+02,1.864192e-01,2.100000e-03,7.2191e-10,2.6565e-09,-1.3446e-08,-1.3719e-08,-2.5759e-07,-1.5504e-09
11,2.718592e-10,3.000000e+08,3.000000e+08,2.194163e+02,1.010003e+02,1.882631e-01,2.100000e-03,-1.4802e-11,2.0962e-10,-9.9281e-11,-6.6569e-10,-4.5983e-08,-3.9676e-10
12,2.286689e-10,3.000000e+08,3.000000e+08,2.204092e+02,1.005539e+02,1.886542e-01,2.100000e-03,-1.7948e-10,-6.0870e-10,1.5610e-09,4.1575e-09,-9.0816e-09,-7.1490e-11
13,2.474913e-10,3.000000e+08,3.000000e+08,2.213139e+02,9.997635e+01,1.889161e-01,2.100000e-03,-2.8405e-10,-6.3349e-10,4.7564e-09,3.8474e-09,3.2723e-08,-3.9904e-11
14,2.291725e-10,3.000000e+08,3.000000e+08,2.206175e+02,1.004205e+02,1.887146e-01,2.100000e-03,-2.0329e-10,-6.1120e-10,3.2216e-09,3.8900e-09,1.1433e-08,-7.0946e-11
15,2.285802e-10,3.000000e+08,3.000000e+08,2.204764e+02,1.005108e+02,1.886737e-01,2.100000e-03,-1.8715e-10,-6.0930e-10,2.9214e-09,3.8827e-09,7.6515e-09,-7.6274e-11
