# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,4.604006e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.0189e-06,-1.0552e-04,-1.4037e-04,9.3733e-04,-6.6312e-04,-5.1837e-06
2,4.604005e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.0189e-06,-1.0552e-04,-1.4880e-04,9.5481e-04,-6.8150e-04,-5.3116e-06
3,3.240478e-04,3.000000e+08,3.000000e+08,1.897978e+02,1.425514e+02,1.768584e-01,2.100000e-03,7.4180e-06,-1.4482e-04,-7.8414e-04,1.5160e-03,-7.0504e-04,4.7304e-07
4,1.792349e-04,3.000000e+08,3.000000e+08,2.300000e+02,1.314771e+02,1.865147e-01,2.100000e-03,-4.1508e-06,-1.7656e-04,4.0840e-05,1.1517e-03,1.6865e-03,2.9406e-05
5,1.221576e-04,3.000000e+08,3.000000e+08,2.300000e+02,1.237779e+02,1.799664e-01,2.100000e-03,6.4244e-06,-7.9840e-05,-1.1498e-04,6.0355e-04,-2.1483e-03,-1.1860e-05
6,8.353367e-05,3.000000e+08,3.000000e+08,2.300000e+02,1.209610e+02,1.824699e-01,2.100000e-03,3.5945e-06,-9.9880e-05,-1.0232e-04,6.9350e-04,-1.1508e-03,-1.3765e-06
7,3.756648e-05,3.000000e+08,3.000000e+08,2.300000e+02,1.007391e+02,1.915266e-01,2.100000e-03,-1.3736e-05,-7.9954e-05,2.1576e-04,4.0826e-04,3.9216e-03,2.5968e-05
8,6.333662e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.017461e+02,1.871413e-01,2.100000e-03,1.1970e-06,3.2838e-05,-3.2235e-05,-1.6970e-04,-1.1795e-03,-1.4064e-05
9,3.011913e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.022496e+02,1.879790e-01,2.100000e-03,-1.2107e-06,-1.6745e-06,6.5331e-06,1.5886e-05,-1.3779e-04,-3.6350e-06
10,2.809910e-06,3.000000e+08,3.000000e+08,2.298653e+02,1.015464e+02,1.883113e-01,2.100000e-03,-1.8762e-06,-7.8809e-07,2.1982e-05,7.7106e-06,1.0113e-05,-3.4736e-06
11,2.735315e-06,3.000000e+08,3.000000e+08,2.289588e+02,1.012969e+02,1.884249e-01,2.100000e-03,-2.0179e-06,-1.3991e-06,2.5226e-05,1.0401e-05,2.4180e-05,-3.1934e-06
12,3.129031e-06,3.000000e+08,3.000000e+08,2.253685e+02,1.003053e+02,1.888798e-01,2.100000e-03,-3.6184e-06,-5.4787e-06,4.9214e-05,2.8653e-05,4.7657e-04,-6.3350e-07
13,2.690203e-06,3.000000e+08,3.000000e+08,2.285047e+02,1.011718e+02,1.884820e-01,2.100000e-03,-2.1670e-06,-1.6171e-06,1.9876e-05,1.2623e-05,9.3129e-05,-2.8666e-06
14,2.687640e-06,3.000000e+08,3.000000e+08,2.252088e+02,1.004928e+02,1.886700e-01,2.100000e-03,-3.0240e-06,-1.8621e-06,4.0971e-05,9.5708e-06,2.9625e-04,-1.9533e-06
15,1.569767e-06,3.000000e+08,3.000000e+08,2.124939e+02,9.782217e+01,1.894240e-01,2.100000e-03,-2.1377e-06,1.8804e-05,2.2478e-05,-1.0261e-04,-1.5262e-04,-6.5934e-06
16,8.898346e-07,3.000000e+08,3.000000e+08,2.132545e+02,9.901225e+01,1.891751e-01,2.100000e-03,-1.9933e-06,7.0506e-06,2.3944e-05,-3.9270e-05,-5.9840e-06,-3.4299e-06
17,1.321008e-07,3.000000e+08,3.000000e+08,1.992819e+02,9.957273e+01,1.893341e-01,2.100000e-03,-7.7323e-07,-4.5474e-06,-1.8864e-06,2.7533e-05,1.3785e-04,1.8033e-06
18,1.462558e-07,3.000000e+08,3.000000e+08,2.013798e+02,9.948389e+01,1.892434e-01,2.100000e-03,-1.1192e-06,-4.5877e-07,1.3394e-05,2.2405e-06,1.5857e-04,1.2846e-07
19,1.182597e-07,3.000000e+08,3.000000e+08,1.999946e+02,9.954243e+01,1.893032e-01,2.100000e-03,-8.6973e-07,-1.7129e-06,1.6413e-05,8.3436e-06,2.0034e-04,5.1353e-07
20,5.948477e-08,3.000000e+08,3.000000e+08,2.005863e+02,9.953144e+01,1.890625e-01,2.100000e-03,-2.0546e-07,5.0062e-06,-2.1290e-06,-2.8035e-05,-7.4089e-05,-1.2019e-06
