# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,3.840251e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-3.5668e-09,-7.3227e-09,5.5016e-08,5.1158e-08,2.2801e-07,-5.7836e-11
2,3.840243e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-3.5668e-09,-7.3227e-09,5.4143e-08,5.1438e-08,2.2816e-07,-5.0505e-11
3,2.211252e-08,3.000000e+08,3.000000e+08,1.713571e+02,1.426455e+02,1.897642e-01,2.100000e-03,8.9634e-10,-1.2998e-08,-1.2513e-08,1.1633e-07,1.5726e-07,1.0352e-09
4,8.443150e-07,3.000000e+08,3.000000e+08,1.700000e+02,9.000000e+01,1.470000e-01,2.100000e-03,2.8298e-10,7.1182e-07,1.3885e-07,-4.9959e-06,-1.4755e-06,-2.0982e-08
5,1.283687e-08,3.000000e+08,3.000000e+08,1.711925e+02,1.349228e+02,1.839975e-01,2.100000e-03,2.4803e-09,-1.1746e-08,-2.4859e-07,2.2382e-07,-5.3177e-08,2.2850e-09
6,1.314304e-07,3.000000e+08,3.000000e+08,1.705952e+02,1.101955e+02,1.644616e-01,2.100000e-03,5.6234e-09,1.2004e-07,5.6309e-09,-8.8105e-07,-1.0671e-06,-1.1645e-08
7,1.166291e-08,3.000000e+08,3.000000e+08,1.711145e+02,1.314101e+02,1.813259e-01,2.100000e-03,3.1961e-09,-7.9803e-09,-3.8016e-08,7.2821e-08,-1.1883e-07,7.4658e-10
8,4.954263e-09,3.000000e+08,3.000000e+08,1.822251e+02,1.218114e+02,1.821029e-01,2.100000e-03,2.0385e-09,1.1550e-09,-2.8604e-08,-3.4733e-09,-2.1065e-07,-5.0330e-10
9,1.895863e-09,3.000000e+08,3.000000e+08,2.061772e+02,1.130597e+02,1.910716e-01,2.100000e-03,-1.2726e-09,-3.1391e-09,1.5096e-08,2.0972e-08,2.0838e-07,5.6085e-10
10,2.051101e-10,3.000000e+08,3.000000e+08,1.976030e+02,1.155825e+02,1.870105e-01,2.100000e-03,1.0281e-10,1.5190e-09,-2.8253e-10,-1.1038e-08,-4.6030e-08,-5.2754e-10
11,9.690556e-11,3.000000e+08,3.000000e+08,1.973798e+02,1.160847e+02,1.874785e-01,2.100000e-03,-2.5550e-11,1.0866e-10,-1.1013e-10,-8.2141e-10,-1.9316e-08,-1.7592e-10
12,1.039275e-10,3.000000e+08,3.000000e+08,1.982448e+02,1.157568e+02,1.880398e-01,2.100000e-03,-2.0103e-10,-4.9714e-10,4.3780e-09,2.5163e-09,8.3819e-09,-4.4674e-11
13,8.900740e-11,3.000000e+08,3.000000e+08,1.976887e+02,1.159673e+02,1.876791e-01,2.100000e-03,-8.7339e-11,-1.0743e-10,1.4682e-09,4.2396e-10,-4.2655e-09,-1.4045e-10
14,8.664685e-11,3.000000e+08,3.000000e+08,1.974633e+02,1.159862e+02,1.877326e-01,2.100000e-03,-9.3207e-11,-2.0774e-10,9.6056e-09,-1.4402e-09,-3.8203e-09,-1.5150e-10
15,9.710694e-11,3.000000e+08,3.000000e+08,1.965641e+02,1.160619e+02,1.879468e-01,2.100000e-03,-2.7672e-11,-5.7881e-10,3.4670e-10,3.8326e-09,1.0653e-08,6.2025e-12
16,8.513814e-11,3.000000e+08,3.000000e+08,1.972287e+02,1.160060e+02,1.877884e-01,2.100000e-03,-9.9309e-11,-3.1199e-10,1.4963e-09,1.8688e-09,1.9331e-09,-8.3862e-11
17,8.104125e-11,3.000000e+08,3.000000e+08,1.966794e+02,1.159562e+02,1.878622e-01,2.100000e-03,-9.4483e-11,-3.5379e-10,1.5160e-09,2.1363e-09,3.7129e-09,-6.0899e-11
18,2.920588e-10,3.000000e+08,3.000000e+08,1.912841e+02,1.153920e+02,1.884477e-01,2.100000e-03,2.3252e-10,-1.7452e-09,-1.5834e-08,1.6023e-08,-1.5273e-08,6.2756e-10
19,9.097533e-11,3.000000e+08,3.000000e+08,1.963908e+02,1.159263e+02,1.878931e-01,2.100000e-03,2.9143e-13,-3.3172e-10,1.2236e-11,2.1465e-09,4.6202e-09,-4.5856e-11
20,8.097189e-11,3.000000e+08,3.000000e+08,1.966699e+02,1.159552e+02,1.878632e-01,2.100000e-03,-9.4319e-11,-3.5387e-10,1.4976e-09,2.1564e-09,3.6791e-09,-6.0833e-11
21,9.091194e-11,3.000000e+08,3.000000e+08,1.964857e+02,1.159361e+02,1.878829e-01,2.100000e-03,-1.9384e-12,-3.3031e-10,5.7389e-11,2.1170e-09,4.3900e-09,-4.8019e-11
22,8.094146e-11,3.000000e+08,3.000000e+08,1.966659e+02,1.159548e+02,1.878637e-01,2.100000e-03,-9.4254e-11,-3.5384e-10,1.5297e-09,2.1387e-09,3.8122e-09,-6.1404e-11
23,8.091571e-11,3.000000e+08,3.000000e+08,1.966621e+02,1.159544e+02,1.878641e-01,2.100000e-03,-9.4173e-11,-3.5401e-10,1.3706e-09,2.1976e-09,2.9828e-09,-5.8410e-11
24,9.087886e-11,3.000000e+08,3.000000e+08,1.965739e+02,1.159452e+02,1.878735e-01,2.100000e-03,-3.9897e-12,-3.2915e-10,3.9689e-11,2.1358e-09,3.8581e-09,-4.9902e-11
25,8.090870e-11,3.000000e+08,3.000000e+08,1.966612e+02,1.159543e+02,1.878642e-01,2.100000e-03,-9.4156e-11,-3.5417e-10,1.5016e-09,2.1418e-09,3.7158e-09,-6.0271e-11
26,8.090545e-11,3.000000e+08,3.000000e+08,1.966603e+02,1.159542e+02,1.878643e-01,2.100000e-03,-9.4145e-11,-3.5427e-10,1.4503e-09,2.1906e-09,3.3353e-09,-6.0137e-11
27,8.059200e-11,3.000000e+08,3.000000e+08,1.966170e+02,1.159497e+02,1.878689e-01,2.100000e-03,-9.3398e-11,-3.5476e-10,1.4421e-09,2.1958e-09,3.4717e-09,-5.9113e-11
