# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=5.000000e+07
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,6.455432e-06,5.000000e+07,3.000000e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.1709e-07,1.8659e-05,1.1223e-04,-1.2930e-04,-3.8893e-05,-9.4363e-07
2,2.011814e-06,6.052393e+07,1.467731e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.2049e-07,9.7532e-07,4.9927e-06,-5.2423e-06,9.5777e-07,-7.0232e-08
3,1.960333e-06,6.154410e+07,1.401158e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.3989e-07,7.9493e-07,3.1112e-06,-2.9770e-06,1.1000e-06,-5.9983e-08
4,1.758509e-06,6.872356e+07,1.063514e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-7.7361e-07,2.1236e-07,1.6269e-07,-3.2042e-07,9.4635e-07,-2.1779e-08
5,1.499608e-06,8.760744e+07,7.857011e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.1363e-06,2.1180e-08,2.5820e-06,-2.0856e-06,-2.8916e-07,4.8520e-09
6,1.603692e-08,2.313569e+08,2.340530e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,5.1418e-07,-4.3111e-09,-1.6703e-06,1.3500e-06,-9.7213e-07,2.3179e-09
7,6.003835e-07,1.526847e+08,3.636661e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-2.0749e-06,-2.7585e-08,-1.5743e-06,1.9556e-06,-4.1161e-06,5.8785e-08
8,8.920914e-09,2.233124e+08,2.430033e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.0318e-07,-7.0808e-09,4.5459e-08,1.0512e-07,-1.9793e-06,1.9040e-08
9,8.625024e-09,2.245451e+08,2.418881e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.5259e-08,-6.6609e-09,-8.4712e-07,9.4635e-07,-1.8364e-06,1.6684e-08
10,8.615179e-09,2.246808e+08,2.420231e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-5.3363e-09,-6.6141e-09,-5.2168e-07,5.2821e-07,-1.8188e-06,1.6415e-08
11,8.595807e-09,2.248343e+08,2.427368e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.1053e-09,-6.5600e-09,-8.5918e-07,7.9306e-07,-1.7955e-06,1.6101e-08
12,8.538040e-09,2.251191e+08,2.457435e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.7939e-08,-6.4526e-09,-1.0057e-06,9.8020e-07,-1.7420e-06,1.5490e-08
13,8.392960e-09,2.255343e+08,2.546913e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.1519e-08,-6.2532e-09,-9.9836e-07,9.4464e-07,-1.6358e-06,1.4524e-08
14,8.023514e-09,2.261398e+08,2.818883e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.1587e-07,-5.6362e-09,-1.1233e-06,1.1043e-06,-1.3926e-06,1.2933e-08
15,7.396878e-09,2.266671e+08,3.505866e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.7973e-07,-2.7439e-09,-2.8503e-08,-9.8768e-08,-8.9747e-07,1.1219e-08
16,6.829929e-09,2.261262e+08,3.932896e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.5370e-07,6.2126e-12,-5.8871e-07,5.0204e-07,-6.9935e-07,1.2042e-08
17,6.107311e-09,2.240593e+08,4.119479e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.6568e-09,3.7673e-10,-1.3136e-06,1.3425e-06,-8.4511e-07,1.5791e-08
18,6.105546e-09,2.239855e+08,4.066823e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-5.7382e-10,-1.6689e-10,-5.5004e-07,5.1661e-07,-8.8784e-07,1.5948e-08
19,6.104518e-09,2.239838e+08,4.084756e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.1377e-11,-1.9791e-12,-1.4364e-06,1.4474e-06,-8.7666e-07,1.5942e-08
20,6.104958e-09,2.239846e+08,4.084915e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.2084e-11,4.7346e-13,-3.1592e-07,3.1393e-07,-8.7640e-07,1.5941e-08
21,6.104858e-09,2.239838e+08,4.084756e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-8.3613e-11,-2.2022e-12,-3.2542e-07,3.1180e-07,-8.7673e-07,1.5944e-08
22,6.104345e-09,2.239838e+08,4.084756e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.1837e-11,-1.5768e-12,-3.9474e-09,-1.2999e-08,-8.7662e-07,1.5942e-08
23,6.104581e-09,2.239838e+08,4.084756e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-5.8124e-11,-2.4299e-12,-6.0115e-07,5.8758e-07,-8.7668e-07,1.5942e-08
