# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=5.000000e+07
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,2.615242e-05,5.000000e+07,3.000000e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.5373e-06,1.7517e-05,1.0095e-04,-1.1574e-04,-1.5121e-05,-1.1234e-06
2,1.859564e-05,1.262304e+08,1.533379e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-8.0849e-06,7.8057e-07,-1.8861e-05,2.2246e-05,3.0181e-06,-6.6494e-08
3,5.409652e-06,5.000000e+08,5.206429e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.4025e-05,4.1394e-07,-2.8496e-04,2.3714e-04,1.5931e-04,-2.2181e-06
4,1.698781e-05,1.489297e+08,1.346770e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.0627e-05,3.1720e-07,-1.8812e-06,-5.0876e-07,-1.7864e-06,3.5476e-08
5,6.959200e-06,2.728824e+08,8.373685e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-2.1959e-05,-1.0835e-07,6.1807e-05,-5.2522e-05,-2.2637e-05,4.3198e-07
6,1.915909e-07,4.011901e+08,6.188346e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.2684e-06,1.1147e-07,2.1116e-05,-1.9510e-05,1.9261e-05,-1.1944e-07
7,5.284381e-06,5.000000e+08,3.518936e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.3310e-05,2.4371e-07,4.5457e-05,-5.6724e-05,1.5378e-04,-2.2721e-06
8,1.523073e-07,4.091250e+08,5.885267e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-8.4294e-08,1.2014e-07,1.2781e-06,-1.6509e-06,2.5480e-05,-2.1977e-07
9,1.427846e-07,4.102141e+08,5.377962e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.7383e-07,9.7583e-08,1.1618e-05,-1.3020e-05,2.5025e-05,-2.3592e-07
10,1.216665e-07,4.111535e+08,3.899554e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.6481e-07,4.6117e-08,6.3784e-06,-6.5694e-06,2.1689e-05,-2.5040e-07
11,1.122996e-07,4.110992e+08,2.970710e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.4940e-07,2.5377e-08,9.6267e-06,-8.8612e-06,1.9065e-05,-2.4802e-07
12,1.060751e-07,4.112617e+08,2.118840e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,4.7930e-08,1.3142e-08,1.0623e-05,-1.0468e-05,1.6892e-05,-2.4704e-07
13,1.054236e-07,4.115601e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.5379e-07,1.2094e-08,1.1391e-05,-1.1073e-05,1.6851e-05,-2.5080e-07
14,1.053578e-07,4.112647e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.5476e-08,1.1810e-08,1.8966e-05,-1.9107e-05,1.6574e-05,-2.4649e-07
15,1.053585e-07,4.112061e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.2698e-10,1.1754e-08,-1.3498e-06,1.7539e-06,1.6519e-05,-2.4565e-07
16,1.053593e-07,4.112505e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.9366e-08,1.1796e-08,1.2138e-05,-1.2119e-05,1.6561e-05,-2.4629e-07
17,1.053626e-07,4.112637e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.5030e-08,1.1809e-08,1.9208e-05,-1.9645e-05,1.6574e-05,-2.4648e-07
